Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation Currency (in USD),Organization Description,Organization Industries,Organization Location,Organization Website,Organization Revenue Range,Funding Status,Investor Names
Series A - Briza.io,https://www.crunchbase.com/funding_round/briza-series-a--aeede67c,Briza.io,https://www.crunchbase.com/organization/briza,Series A,8000000,USD,8000000,2021-02-14,,,,The commercial insurance-as-a-service API. Connecting underwriters to agencies and financial applications to make insurance instant.,"Insurance, InsurTech","Toronto, Ontario, Canada, North America",https://briza.io/,$1M to $10M,Early Stage Venture,"500 Startups, Investment Group of Santa Barbara"
Series A - BlackCart,https://www.crunchbase.com/funding_round/blackcart-series-a--15e4ac6c,BlackCart,https://www.crunchbase.com/organization/blackcart,Series A,8800000,USD,8800000,2021-01-25,,,,BlackCart is a try-before-you-buy platform for eCommerce stores.,"Apps, E-Commerce, E-Commerce Platforms, Retail Technology","Toronto, Ontario, Canada, North America",https://blackcart.com,$1M to $10M,Early Stage Venture,"500 Startups, Christian Sullivan, Citi Ventures, Dean Bakes, Greg Rudin, Hyde Park Venture Partners, Nicholas Pirollo, Origin Ventures, Struck Capital"
Seed Round - ShearShare,https://www.crunchbase.com/funding_round/shearshare-seed--8d7558d4,ShearShare,https://www.crunchbase.com/organization/shearshare,Seed,2300000,USD,2300000,2020-10-26,,,,ShearShare is the first B2B marketplace that connects salon and barbershop owners to stylists to fill their empty space on demand.,"B2B, Beauty, Marketplace, Mobile, Mobile Apps, Sharing Economy","Mckinney, Texas, United States, North America",http://shearshare.com/,Less than $1M,Seed,"500 Startups, ArlanWasHere Investments, Backstage Capital, Bread and Butter Ventures (fka The Syndicate Fund), Bumble Fund, Lightspeed Venture Partners, Minority Entrepreneurship Institute, Notley Ventures, Precursor Ventures, Reform Ventures, Revolution, Revolution’s Rise of the Rest Seed Fund, Sachse Family Fund, Structure Capital"
Seed Round - Cleanly,https://www.crunchbase.com/funding_round/cleanly-seed--a6c13448,Cleanly,https://www.crunchbase.com/organization/cleanly,Seed,2300000,USD,2300000,2015-05-13,,,,Cleanly creates an alternative to their clients typical laundry and dry cleaning experience.,Laundry and Dry-cleaning,"Brooklyn, New York, United States, North America",https://www.cleanly.com,$10M to $50M,Early Stage Venture,"500 Startups, AltaIR Capital, Chloe Sladden, FundersClub, Initialized Capital, Joe Montana, Ludlow Ventures, Paul Buchheit, Semil Shah, Soma Capital"
Series A - Gentem,https://www.crunchbase.com/funding_round/gentem-series-a--9df8b573,Gentem,https://www.crunchbase.com/organization/gentem,Series A,10000000,USD,10000000,2021-02-09,,,,Gentem helps providers get paid more and faster than ever before by automating medical billing and simplifying the reimbursement experience.,"Health Care, InsurTech","San Francisco, California, United States, North America",https://www.gentem.com/,$1M to $10M,Early Stage Venture,"500 Startups, CoFound Partners, rocketship.vc, Social Starts, Susa Ventures, Vulcan Capital"
Series B - Chipper Cash,https://www.crunchbase.com/funding_round/chipper-cash-series-b--14feefc1,Chipper Cash,https://www.crunchbase.com/organization/chipper-cash,Series B,30000000,USD,30000000,2020-11-19,,,,Chipper Cash is a fintech platform that offers cross-border money transfer services through mobile.,"Financial Services, FinTech, Mobile Apps, Mobile Payments, Payments","San Francisco, California, United States, North America",https://www.chippercash.com/,Less than $1M,Early Stage Venture,"500 Fintech, 500 Startups, Bezos Expeditions, Deciens Capital, One Way Ventures, Ribbit Capital, TEN13"
Series A - LottieFiles,https://www.crunchbase.com/funding_round/lottiefiles-series-a--5095b403,LottieFiles,https://www.crunchbase.com/organization/lottiefiles,Series A,9000000,USD,9000000,2021-01-27,,,,"LottieFiles features a mobile-based platform that enables designers to share, test, and iterate micro animations.","Animation, Graphic Design, Web Design","Kuala Lumpur, Kuala Lumpur, Malaysia, Asia",https://lottiefiles.com/,,Early Stage Venture,"500 Startups, Adobe Fund for Design, M12"
Series C - Stockbit,https://www.crunchbase.com/funding_round/stockbit-series-c--29ce84bd,Stockbit,https://www.crunchbase.com/organization/stockbit,Series C,35000000,USD,35000000,2021-01-05,,,,Stockbit is an Indonesian investment community platform for investors and traders to share information and their ideas.,"Finance, Financial Services, Internet","Jakarta, Jakarta Raya, Indonesia, Asia",https://stockbit.com,$1M to $10M,Late Stage Venture,"500 Startups, AC Ventures, East Ventures, EV Growth, Quona Capital, Sequoia Capital India"
Seed Round - Convoz,https://www.crunchbase.com/funding_round/convoz-seed--73639217,Convoz,https://www.crunchbase.com/organization/convoz,Seed,,,,2018-01-01,,,,Convoz is an app for creating public collaborative conversation through video.,"Apps, Video, Video Chat","Marina Del Rey, California, United States, North America",http://convoz.com,,Seed,"500 Startups, Greycroft, Justin Kan, Okapi Venture Capital, Precursor Ventures, Snoop Dogg, Upfront Ventures, XG Ventures"
Seed Round - FineDine,https://www.crunchbase.com/funding_round/finedine-seed--202b89b4,FineDine,https://www.crunchbase.com/organization/finedine,Seed,600000,USD,600000,2020-07-29,,,,"FineDine is a growing tech company, that provides AI-driven ordering and management platform for restaurants, cafes, bars and hotels.","Hospitality, Mobile, Restaurants, SaaS","Newark, Delaware, United States, North America",https://www.finedinemenu.com,$1M to $10M,Seed,"500 Istanbul, 500 Startups, Cenk Serdar, Hande Enes, Lovrenc Kessler, Savour Ventures, Tarvenn Ventures, TechOne VC, twozero Ventures"
