Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation Currency (in USD),Organization Description,Organization Industries,Organization Location,Organization Website,Organization Revenue Range,Funding Status,Investor Names
Seed Round - mynurse.ai,https://www.crunchbase.com/funding_round/salusive-health-seed--b560b34a,mynurse.ai,https://www.crunchbase.com/organization/salusive-health,Seed,,,,2020-04-09,,,,a digital health program to help seniors with chronic conditions live their best lives.,"B2B, Enterprise Software, Health Care, Hospital, mHealth, Personal Health","Emeryville, California, United States, North America",http://mynurse.ai,Less than $1M,Seed,"500 Startups, Ben Orthlieb, Berkeley SkyDeck"
Pre Seed Round - TechieMatter,https://www.crunchbase.com/funding_round/techiematter-pre-seed--ecb7ac32,TechieMatter,https://www.crunchbase.com/organization/techiematter,Pre-Seed,50000,USD,50000,2019-10-13,,,,"TechieMatter is a technical recruitment web solution, that delivers tech talents to employers quickly without hassle.",,"Cairo, Al Qahirah, Egypt, Africa",https://techiematter.com,,Seed,"500 Startups, Misk Global Forum"
Grant - Argineering,https://www.crunchbase.com/funding_round/argineering-grant--1386ea00,Argineering,https://www.crunchbase.com/organization/argineering,Grant,50000,USD,50000,2018-12-16,,,,RGKit is a no-code customizable robotic system that turns videographers and designers into pros.,"Advertising Platforms, Marketing, Robotics","Gîza, Al Jizah, Egypt, Africa",http://www.argineering.net,Less than $1M,Seed,500 Startups
Series A - InnerChef,https://www.crunchbase.com/funding_round/inner-chef-series-a--b180db89,InnerChef,https://www.crunchbase.com/organization/inner-chef,Series A,2500000,USD,2500000,2016-10-04,,,,InnerChef is an Indian food tech company that offers online food discovery and delivery through a mobile app.,"Cooking, E-Commerce, Food and Beverage, Food Delivery, Online Portals","Gurgaon, Haryana, India, Asia",https://www.innerchef.com/,$10M to $50M,Early Stage Venture,"500 Startups, Chernovetskyi Investment Group, Das Capital, M&S Partners, Mistletoe, Saha Fund"
Seed Round - Thrive Agric,https://www.crunchbase.com/funding_round/thrive-agric-seed--a397b512,Thrive Agric,https://www.crunchbase.com/organization/thrive-agric,Seed,150000,USD,150000,2018-10-31,,,,"We are an agricultural technology startup providing access to finance, premium markets and data driven advisory for smallholder farmers.","Agriculture, AgTech, Farming, Information Technology","Maitama, Federal Capital Territory, Nigeria, Africa",https://www.thriveagric.com/,Less than $1M,Seed,500 Startups
Pre Seed Round - Tripdizer,https://www.crunchbase.com/funding_round/tripdizer-pre-seed--d6fa3697,Tripdizer,https://www.crunchbase.com/organization/tripdizer,Pre-Seed,150000,USD,150000,2018-04-25,,,,Tripdizer enables travelers to plan and book customized multi-city trips smoothly and efficiently leveraging technology.,"Tourism, Travel","Zamalek, Al Qahirah, Egypt, Africa",https://tripdizer.com/,$1M to $10M,Seed,500 Startups
Seed Round - Payment24,https://www.crunchbase.com/funding_round/payment24-seed--fbb54262,Payment24,https://www.crunchbase.com/organization/payment24,Seed,150000,USD,150000,2017-08-08,,,,Payment24 is an International Fuel Payment Solutions Provider based in Cape Town and Berlin,"Information Technology, Mobile Payments, Payments","Cape Town, NA - South Africa, South Africa, Africa",http://www.payment24.co.za/,$1M to $10M,Private Equity,500 Startups
Seed Round - DIGGLE,https://www.crunchbase.com/funding_round/diggle-seed--e7b48600,DIGGLE,https://www.crunchbase.com/organization/diggle,Seed,150000000,JPY,1335433,2018-10-29,,,,DIGGLE is a service that provides fundamental management accounting management on the cloud called fraud management. ,"Accounting, Finance, Management Consulting","Tokyo, Tokyo, Japan, Asia",https://diggle.jp,,Seed,"500 Startups, Archetype Ventures, DNX Ventures, HENNGE, UB Ventures, Uzabase"
Seed Round - Kilo,https://www.crunchbase.com/funding_round/kilo-4d35-seed--44a94478,Kilo,https://www.crunchbase.com/organization/kilo-4d35,Seed,,,,2020-08-20,,,,"Kilo develops a retail platform that provides retailers access to price, assortment, and inventory management.","Retail, Retail Technology, Small and Medium Businesses","Ho Chi Minh City, NA - Vietnam, Vietnam, Asia",https://kilo.vn/,,Seed,"500 Startups, 500 Startups Vietnam"
Seed Round - Convertedin,https://www.crunchbase.com/funding_round/pinoffer-seed--9aa774b6,Convertedin,https://www.crunchbase.com/organization/pinoffer,Seed,,,,2020-03-01,,,,Convertedin is an ad automation  platform for ecommerce businesses using AI.,"Analytics, Artificial Intelligence, E-Commerce, Retail, SaaS","Delaware, Ohio, United States, North America",http://www.converted.in,,Seed,500 Startups
Seed Round - Wecare247,https://www.crunchbase.com/funding_round/wecare247-seed--cebbb003,Wecare247,https://www.crunchbase.com/organization/wecare247,Seed,,,,2020-08-15,,,,Wecare247 develops a technology platform designed to provide medical care services to customers at home and hospital.,"Health Care, Information Technology, Medical","Ho Chi Minh City, NA - Vietnam, Vietnam, Asia",https://wecare247.com.vn/,,Seed,"500 Startups, 500 Startups Vietnam"
Seed Round - Headout,https://www.crunchbase.com/funding_round/tourlandish-seed--6ad02eb2,Headout,https://www.crunchbase.com/organization/tourlandish,Seed,1800000,USD,1800000,2015-04-23,,,,Headout is an on-demand mobile concierge helping travelers book the best local experiences for the next 24 hours at discounted prices.,"Marketplace, Mobile, Travel","New York, New York, United States, North America",https://www.headout.com,$1M to $10M,Seed,"500 Startups, AngelList, Arena Ventures, Christine Tsai, Daniel Curran, Dave McClure, Dreamit Ventures, Fabrice Grinda, FJ Labs, FundersClub, Haystack, Jose Marin, Kunal Bahl, Ludlow Ventures, Maiden Lane Ventures, Neeraj Arora, Nexus Venture Partners, Paige Craig, Pankaj Jain, Rick Marini, Rohit Bansal, Steve Barsh, T5 Capital, Version One Ventures, Vishal Gondal"
Seed Round - Runway Financial,https://www.crunchbase.com/funding_round/runway-financial-seed--2bc1a438,Runway Financial,https://www.crunchbase.com/organization/runway-financial,Seed,4500000,USD,4500000,2020-05-29,,,,Runway Financial predates computers and the popularization of negative numbers.,"Finance, Financial Services, FinTech, Software","San Francisco, California, United States, North America",https://runway.com/,,Seed,"500 Startups, Andreessen Horowitz"
Seed Round - Virtual Internships,https://www.crunchbase.com/funding_round/virtual-internship-partners-seed--584b8c15,Virtual Internships,https://www.crunchbase.com/organization/virtual-internship-partners,Seed,,,,2020-09-16,,,,"Virtual Internship Partners provides transformative, 21st-century remote-work experiences for students and graduates","EdTech, Education","London, England, United Kingdom, Europe",https://www.virtualinternships.com/,,Seed,"500 Startups, 500 Startups Vietnam"
Seed Round - Court Buddy,https://www.crunchbase.com/funding_round/court-buddy-seed--18275c26,Court Buddy,https://www.crunchbase.com/organization/court-buddy,Seed,1000000,USD,1000000,2017-10-04,,,,Court Buddy instantly matches consumers with solo attorneys based on budget.,"Consulting, Consumer, Information Technology, Legal, Marketplace, Messaging, Mobile, Software","San Francisco, California, United States, North America",http://www.courtbuddy.com,Less than $1M,Early Stage Venture,"500 Startups, Equipo Ventures, GingerBread Capital, Julie McDermott, LDR Ventures, Lightspeed Venture Partners, UpHonest Capital, XFactor Ventures"
Pre Seed Round - iMotorbike,https://www.crunchbase.com/funding_round/imotorbike-pre-seed--a37e69aa,iMotorbike,https://www.crunchbase.com/organization/imotorbike,Pre-Seed,250000,USD,250000,2017-03-03,,,,"iMotorbike.com: #1 Motorcycles Marketplace | Buy and Sell Motorcycles, Parts, Accessories","Automotive, Classifieds, E-Commerce, Internet, Marketplace","Singapore, Central Region, Singapore, Asia",https://imotorbike.com,,Seed,500 Startups
Series A - Wildfire,https://www.crunchbase.com/funding_round/wildfire-interactive-series-a--b9d36990,Wildfire,https://www.crunchbase.com/organization/wildfire-interactive,Series A,4000000,USD,4000000,2010-04-26,,,,Wildfire is a provider of enterprise social media marketing software.,"Advertising, Analytics, Enterprise Software, SaaS, Social Media, Software","Redwood City, California, United States, North America",http://www.wildfireapp.com,$1M to $10M,M&A,"500 Startups, Felicis Ventures, Gary Vaynerchuk, Summit Partners, Uncork Capital"
Seed Round - KURASERU,https://www.crunchbase.com/funding_round/kuraseru-seed--307523a3,KURASERU,https://www.crunchbase.com/organization/kuraseru,Seed,130000000,JPY,1173105,2019-03-21,,,,KURASERU is a Japanese startup company that provides facility matching service for medical social workers and care managers.,"Facilities Support Services, Health Care, Medical","Kobe, Kyoto, Japan, Asia",https://www.kuraseru.co.jp/,,Seed,"500 Startups, DBJ Capital, Junji Oshita, SMBC Venture Capital"
"Pre Seed Round - Ash Wellness, Inc.",https://www.crunchbase.com/funding_round/ash-wellness-inc-pre-seed--737db3a7,"Ash Wellness, Inc.",https://www.crunchbase.com/organization/ash-wellness-inc,Pre-Seed,,,,2020-05-15,,,,Ash is a remote diagnostic testing platform that enables providers to shift to telehealth.,Health Care,"New York, New York, United States, North America",https://poweredbyash.com/,,Seed,"500 Startups, Cornell Tech"
Series A - PeopleFund,https://www.crunchbase.com/funding_round/peoplefund-company-series-a--78df9294,PeopleFund,https://www.crunchbase.com/organization/peoplefund-company,Series A,5700000,USD,5700000,2017-06-07,,,,PeopleFund is Korea's leading digital lender focused on consumer finance.,"Finance, Financial Services, FinTech","Seoul, Seoul-t'ukpyolsi, South Korea, Asia",http://www.peoplefund.co.kr,$1M to $10M,Early Stage Venture,"500 Startups, D3 Jubilee, DAYLI Financial Group, Wooshin Venture Investment Corp."
Seed Round - Haemukja,https://www.crunchbase.com/funding_round/haemukja-seed--f27b1254,Haemukja,https://www.crunchbase.com/organization/haemukja,Seed,,,,2015-09-01,,,,Haemukja is an cooking app.,"Apps, Cooking","Seocho, Seoul-t'ukpyolsi, South Korea, Asia",http://haemukja.com/,,Early Stage Venture,500 Startups
Seed Round - ToutApp,https://www.crunchbase.com/funding_round/toutapp-seed--c0834838,ToutApp,https://www.crunchbase.com/organization/toutapp,Seed,920000,USD,920000,2013-04-04,,,,ToutApp helps organizations transform their sales teams into revenue generating machines.,"Email, Enterprise Software, Internet, Sales Automation, Software","San Francisco, California, United States, North America",https://toutapp.com,$1M to $10M,M&A,"500 Startups, AltaIR Capital, Esther Dyson, Founder Collective, Scott Banister"
Series B - Credit Karma,https://www.crunchbase.com/funding_round/credit-karma-series-b--21b4cc5b,Credit Karma,https://www.crunchbase.com/organization/credit-karma,Series B,30000000,USD,30000000,2013-04-02,,,,Credit Karma offers a range of tools and personalized recommendations designed to help customers make the most of their money.,"Credit, Finance, Financial Services, FinTech, Personal Finance","San Francisco, California, United States, North America",https://www.creditkarma.com,$100M to $500M,M&A,"500 Startups, Felicis Ventures, Ribbit Capital, Susquehanna Growth Equity"
Series A - BarkBox,https://www.crunchbase.com/funding_round/barkbox-series-a--1e99904a,BarkBox,https://www.crunchbase.com/organization/barkbox,Series A,5000000,USD,5000000,2013-04-09,,,,Barkbox is a subscription-based e-commerce and content company for dog lovers.,"Consumer, Content, E-Commerce, Pet, Subscription Service","New York, New York, United States, North America",http://barkbox.com,$1M to $10M,Late Stage Venture,"500 Startups, BDMI, BoxGroup, Lerer Hippeau, Polaris Partners, RRE Ventures"
Pre Seed Round - Spaceful,https://www.crunchbase.com/funding_round/spaceful-pre-seed--9d2125ca,Spaceful,https://www.crunchbase.com/organization/spaceful,Pre-Seed,150000,USD,150000,2019-08-23,,,,Hyper-local and global tech-powered logistics.,"Logistics, Shipping","Montréal, Quebec, Canada, North America",https://www.spaceful.ca,,Seed,500 Startups
Seed Round - Tasaira,https://www.crunchbase.com/funding_round/tasaira-seed--fbdb58c7,Tasaira,https://www.crunchbase.com/organization/tasaira,Seed,,,,2020-04-29,,,,Tasaira is a mobile app that helps Saudi drivers get tailored quotes from trusted repair shops.,"Automotive, Mobile Apps","Riyadh, Ar Riyad, Saudi Arabia, Asia",http://www.tasaira.com/,,Seed,500 Startups
Seed Round - Elva,https://www.crunchbase.com/funding_round/getelva-seed--40293fb8,Elva,https://www.crunchbase.com/organization/getelva,Seed,,,,2020-04-29,,,,Elva is a remote medication tracker & emergency response device for chronic disease patients living alone.,"Consumer Electronics, Health Care, Home Health Care, Wearables","San Francisco, California, United States, North America",http://www.getelva.com/,Less than $1M,Seed,500 Startups
Seed Round - Wee,https://www.crunchbase.com/funding_round/wee-seed--df6f7115,Wee,https://www.crunchbase.com/organization/wee,Seed,,,,2020-04-29,,,,Wee is an electric scooter sharing platform in Saudi Arabia.,Electric Vehicle,"Riyadh, Ar Riyad, Saudi Arabia, Asia",https://www.ridewee.com/,,Seed,500 Startups
Seed Round - Wuilt,https://www.crunchbase.com/funding_round/wuilt-seed--00540497,Wuilt,https://www.crunchbase.com/organization/wuilt,Seed,,,,2020-04-29,,,,Wuilt is a website builder where you can create your own Arabic website in under 5 minutes.,"Content, Internet, Web Design, Web Development","6 October City, Al Jizah, Egypt, Africa",https://wuilt.com,,Seed,500 Startups
Seed Round - Johrh,https://www.crunchbase.com/funding_round/johrh-seed--f02f7e37,Johrh,https://www.crunchbase.com/organization/johrh,Seed,,,,2020-04-29,,,,"Johrh is a online abaya store in the GCC, selling a range of quality designs at affordable prices.","E-Commerce, Fashion, Mobile Apps","Riyadh, Ar Riyad, Saudi Arabia, Asia",https://johrh.com/,,Seed,500 Startups
Pre Seed Round - HODL Media,https://www.crunchbase.com/funding_round/hodl-media-pre-seed--0127c695,HODL Media,https://www.crunchbase.com/organization/hodl-media,Pre-Seed,150000,USD,150000,2015-01-01,1428571,USD,1428571,"HODL Media is the publisher of the popular HODL app, a real-time crypto & stock market tracker.","Cryptocurrency, FinTech, Internet, Mobile Apps, News","Palo Alto, California, United States, North America",http://www.hodl.mobi/,,Seed,500 Startups
Seed Round - Yovza,https://www.crunchbase.com/funding_round/yovza-com-construction-simplified-seed--afd00447,Yovza,https://www.crunchbase.com/organization/yovza-com-construction-simplified,Seed,,,,2020-04-29,,,,Yovza is a SaaS that helps construction contractors from the MENA region digitize their approval workflows.,"Construction, SaaS, Software","Dubai, Dubai, United Arab Emirates, Asia",https://yovza.com,,Seed,500 Startups
Seed Round - Floom,https://www.crunchbase.com/funding_round/floom-seed--7ae7caad,Floom,https://www.crunchbase.com/organization/floom,Seed,,,,2020-04-07,,,,Floom is a tech-enabled marketplace for florists to sell their creations direct to customers.,"Consumer Goods, DIY, E-Commerce, Flowers, Information Technology, Internet, Marketplace","London, England, United Kingdom, Europe",https://www.floom.com,Less than $1M,Seed,"500 Startups, Will Brooks, Will Martin"
Seed Round - Zero Hash,https://www.crunchbase.com/funding_round/seed-cx-seed--8fd09f34,Zero Hash,https://www.crunchbase.com/organization/seed-cx,Seed,,,,2015-09-05,,,,Zero Hash offers a post-trade settlement utility to bridge a fragmented market of diverse execution platforms.,"Cryptocurrency, Finance, Financial Services, FinTech, Infrastructure, Trading Platform","Chicago, Illinois, United States, North America",https://zerohash.com/,$1M to $10M,,"500 Startups, Brooklyn Bridge Ventures"
Series A - Sarwa.co,https://www.crunchbase.com/funding_round/sarwa-co-series-a--006f3d56,Sarwa.co,https://www.crunchbase.com/organization/sarwa-co,Series A,8400000,USD,8400000,2020-01-22,,,,Sarwa is an online platform that makes investing in global markets simple and affordable for investors in the Middle East.,"FinTech, Wealth Management","Dubai, Dubai, United Arab Emirates, Asia",http://www.sarwa.co,$1M to $10M,Early Stage Venture,"500 Startups, Dubai International Financial Centre (DIFC), Hala Ventures, Hambro Perks Ltd., Kuwait Investment Projects Company, Middle East Venture Partners (MEVP), Mindshift Capital, Phoenician Funds, Saned Partners, Shorooq Partners, Vision Ventures"
Seed Round - Lumotune,https://www.crunchbase.com/funding_round/lumotune-seed--a239234c,Lumotune,https://www.crunchbase.com/organization/lumotune,Seed,150000,USD,150000,2017-05-08,,,,We are creating a platform to transform the world’s glass into digital displays.,"Digital Signage, Software","Kitchener, Ontario, Canada, North America",http://www.lumotune.com,Less than $1M,Seed,"500 Startups, 500 Startups Canada, HAX, SOSV"
Seed Round - Omnitron Sensors,https://www.crunchbase.com/funding_round/omnitron-sensors-seed--bf02d3b4,Omnitron Sensors,https://www.crunchbase.com/organization/omnitron-sensors,Seed,,,,2020-01-01,,,,Omnitron Sensors enables full autonomy of self-driving cars.,Sensor,"San Francisco, California, United States, North America",https://www.omnitronsensors.com/,,Seed,500 Startups
Seed Round - Kinkao,https://www.crunchbase.com/funding_round/kinkao-seed--8c8d0ec7,Kinkao,https://www.crunchbase.com/organization/kinkao,Seed,,,,2020-10-20,,,,Kinkao delivers lunch or dinner to offices in Bangkok.,"Food and Beverage, Food Delivery","Watthana, Krung Thep, Thailand, Asia",https://kinkao.co/,,Seed,500 Startups
Seed Round - Pawsh,https://www.crunchbase.com/funding_round/pawsh-seed--16fe09a9,Pawsh,https://www.crunchbase.com/organization/pawsh,Seed,,,,2020-11-16,,,,Pawsh specializes and provides door to door pet grooming services.,"Animal Feed, Pet","Alviso, California, United States, North America",https://pawsh.app/about,,Seed,500 Startups
Seed Round - Kyndoo,https://www.crunchbase.com/funding_round/kyndoo-seed--049f6f2a,Kyndoo,https://www.crunchbase.com/organization/kyndoo,Seed,,,,2020-01-13,,,,Leveraging AI to turn the unstructured data of social media into social commerce,"Advertising, Artificial Intelligence, Big Data, Business Intelligence, Data Visualization, Predictive Analytics, Professional Networking, Social, Social Media, Social Media Advertising","San Francisco, California, United States, North America",https://kyndoo.com/,$1M to $10M,Seed,500 Startups
Seed Round - LeCupboard,https://www.crunchbase.com/funding_round/lecupboard-seed--9dcc8af7,LeCupboard,https://www.crunchbase.com/organization/lecupboard,Seed,,,,2020-01-25,,,,LeCupboard creates and cook optimally nutritious organic meals and store them in software.,"Cooking, Software","San Francisco, California, United States, North America",https://www.lecupboard.com/,,Seed,500 Startups
Seed Round - Pencil,https://www.crunchbase.com/funding_round/pencil-5ebf-seed--f0ab7d25,Pencil,https://www.crunchbase.com/organization/pencil-5ebf,Seed,,,,2020-11-16,,,,"Pencil generates performance ad copy, stills and video that are predicted to be creative, effective and on-brand.","Advertising, Artificial Intelligence, Content, Machine Learning","Singapore, Central Region, Singapore, Asia",https://trypencil.com/,,Seed,500 Startups
Seed Round - Mi Dulce Hogar,https://www.crunchbase.com/funding_round/mi-dulce-hogar-seed--6247b0e0,Mi Dulce Hogar,https://www.crunchbase.com/organization/mi-dulce-hogar,Seed,,,,2020-02-27,,,,We offer a home cleaning services at the same time we provide formal jobs for cleaning workers in Mexico,"Home Services, Office Administration, Small and Medium Businesses","Guadalajara, Jalisco, Mexico, North America",https://www.midulcehogar.mx,,Seed,500 Startups
Seed Round - OTO Global,https://www.crunchbase.com/funding_round/oto-global-seed--e746627f,OTO Global,https://www.crunchbase.com/organization/oto-global,Seed,,,,2020-01-27,,,,"OTO Global is a software that provides shipping, logistics and delivery services.","Delivery Service, Shipping, Software, Warehousing","Newark, Delaware, United States, North America",https://www.tryoto.com/,,Seed,500 Startups
Seed Round - Pineapple,https://www.crunchbase.com/funding_round/pineapple-b903-seed--a50ec462,Pineapple,https://www.crunchbase.com/organization/pineapple-b903,Seed,,,,2020-07-29,,,,"Pineapple helps people make a stellar first impression every time, with a visual story that shows off their personality.","Information Technology, Software",,https://www.pineappleapp.io/,,Seed,500 Startups
Seed Round - MightyFly,https://www.crunchbase.com/funding_round/mightyfly-seed--1eeb2aa9,MightyFly,https://www.crunchbase.com/organization/mightyfly,Seed,,,,2020-07-21,,,,"Connecting remote locations with fast, low cost, long-range aerial drone delivery services","Aerospace, Delivery Service, Drones, Logistics, Robotics","San Francisco, California, United States, North America",http://mightyflying.com/,Less than $1M,Seed,500 Startups
Seed Round - Penfield.AI,https://www.crunchbase.com/funding_round/penfield-ai-seed--f50cfbe1,Penfield.AI,https://www.crunchbase.com/organization/penfield-ai,Seed,,,,2020-10-17,,,,Penfield.AI patent-pending technology accurately models the skillsets of cybersecurity analysts.,"Computer, Information Technology, Software","Toronto, Ontario, Canada, North America",https://www.penfield.ai/,,Seed,500 Startups
Seed Round - MHub,https://www.crunchbase.com/funding_round/mhub-4-seed--646834bf,MHub,https://www.crunchbase.com/organization/mhub-4,Seed,,,,2020-12-14,,,,"A comprehensive real-estate fintech platform for property developers, agents and bankers","Financial Services, FinTech, Information Services, Information Technology, Internet, Mobile Apps, Real Estate, Software","Petaling Jaya, Selangor, Malaysia, Asia",https://mhub.my,$1M to $10M,Seed,500 Startups
Seed Round - PI.EXCHANGE,https://www.crunchbase.com/funding_round/pi-exchange-299c-seed--9be4d063,PI.EXCHANGE,https://www.crunchbase.com/organization/pi-exchange-299c,Seed,,,,2020-03-08,,,,A SaaS AutoML platform for users of all sizes & technical capabilities to develop and run powerful AI/ML applications simply & affordably,"Artificial Intelligence, Machine Learning, Software","Melbourne, Victoria, Australia, Oceania",https://pi.exchange,,Seed,500 Startups
Seed Round - Pariti,https://www.crunchbase.com/funding_round/pariti-seed--d2f49887,Pariti,https://www.crunchbase.com/organization/pariti,Seed,,,,2020-09-02,,,,Pariti is a money management application platform.,"Apps, Finance, Financial Services, FinTech","London, England, United Kingdom, Europe",http://www.pariti.com/,$1M to $10M,M&A,500 Startups
Series A - Unikrn,https://www.crunchbase.com/funding_round/unikrn-2-series-a--92350837,Unikrn,https://www.crunchbase.com/organization/unikrn-2,Series A,7000000,USD,7000000,2015-06-30,,,,Unikrn is the multi-award winning esports wagering phenomenon with safe betting on global competitive gaming from stadiums to living rooms.,"eSports, Gaming, Internet, Media and Entertainment","Seattle, Washington, United States, North America",http://www.unikrn.com,Less than $1M,,"500 Startups, Advancit Capital, Binary Capital, Freelands Group, Indicator Ventures, Lerer Hippeau, Mark Cuban, Tabcorp Holdings Limited"
Series A - Smile Identity,https://www.crunchbase.com/funding_round/smile-identity-series-a--73497489,Smile Identity,https://www.crunchbase.com/organization/smile-identity,Series A,,,,2020-11-05,,,,"Smile Identity solve identity for banks, telecoms, financial services and shared economy applications in Africa and beyond.","Apps, Financial Services, Identity Management","Oakland, California, United States, North America",http://www.smileidentity.com/,$1M to $10M,Early Stage Venture,500 Startups
Seed Round - Vungle,https://www.crunchbase.com/funding_round/vungle-seed--79144bb4,Vungle,https://www.crunchbase.com/organization/vungle,Seed,2000000,USD,2000000,2012-05-02,,,,Vungle transforms how people discover and experience apps that delivers the highest value users through engaging video ads.,"Advertising, Developer Tools, Mobile, Mobile Advertising, Video","San Francisco, California, United States, North America",http://www.vungle.com,$100M to $500M,M&A,"500 Startups, AngelPad, Aol Ventures, Ben Lewis, Clint Chao, Crosslink Capital, Dino Vendetti, Eniac Ventures, GV, Krishna Visvanathan, Lee Linden, Scott McNealy, SV Angel, Tim Draper, Uncork Capital, Webb Investment Network"
Seed Round - SparesLab,https://www.crunchbase.com/funding_round/spareslab-seed--4fc165c7,SparesLab,https://www.crunchbase.com/organization/spareslab,Seed,,,,2020-03-25,,,,"Spareslab is a global marketplace for industrial spares, parts and equipment at competitive prices.","B2C, E-Commerce, E-Commerce Platforms, Internet of Things","Wilmington, Delaware, United States, North America",https://spareslab.com,,Seed,500 Startups
Seed Round - Astronomer,https://www.crunchbase.com/funding_round/astronomer-seed--152699b8,Astronomer,https://www.crunchbase.com/organization/astronomer,Seed,,,,2016-10-11,,,,"Astronomer helps organizations adopt Apache Airflow, an open-source data workflow orchestration platform.","Analytics, Big Data, Cloud Computing, Data Integration, Enterprise Software","Cincinnati, Ohio, United States, North America",https://www.astronomer.io/,$1M to $10M,Early Stage Venture,"500 Startups, AngelPad, Connetic Ventures, CoreNetwork Fund, Drummond Road Capital"
Seed Round - Chatter Research,https://www.crunchbase.com/funding_round/chatter-research-seed--64755919,Chatter Research,https://www.crunchbase.com/organization/chatter-research,Seed,150000,USD,150000,2017-05-08,,,,Chatter Research is a real-time customer feedback solution for retail and hospitality.,"Messaging, Real Time, Software","Toronto, Ontario, Canada, North America",http://chatterresearch.com/,Less than $1M,M&A,"500 Startups, 500 Startups Canada, DMZ"
Seed Round - YallaParking,https://www.crunchbase.com/funding_round/yallaparking-seed--bc7745be,YallaParking,https://www.crunchbase.com/organization/yallaparking,Seed,,,,2020-01-21,,,,"Life is stressful enough, finding parking shouldn't be.","Automotive, Consumer, Mobile Apps, Parking, Smart Cities","Dubai, Dubai, United Arab Emirates, Asia",https://www.yallaparking.com,,Seed,500 Startups
Seed Round - Workclass,https://www.crunchbase.com/funding_round/workclass-seed--e23147a6,Workclass,https://www.crunchbase.com/organization/workclass,Seed,,,,2020-11-15,,,,Workclass is a social hiring platform for front line staff.,"Human Resources, Staffing Agency","Singapore, Central Region, Singapore, Asia",https://workclass.co/,,Seed,500 Startups
Seed Round - JusticeText,https://www.crunchbase.com/funding_round/justicetext-seed--8452f2cf,JusticeText,https://www.crunchbase.com/organization/justicetext,Seed,,,,2020-08-26,,,,JusticeText is strengthening the ability of public defenders to analyze this crucial data with our evidence management software.,"Audio, Software, Video","Irvine, California, United States, North America",https://justicetext.com/,,Seed,500 Startups
Seed Round - YoFio,https://www.crunchbase.com/funding_round/yofio-seed--58205bc8,YoFio,https://www.crunchbase.com/organization/yofio,Seed,,,,2020-10-20,,,,YoFio,,"Mexico City, Distrito Federal, Mexico, North America",https://www.yofio.co/,,Seed,500 Startups
Seed Round - Showcase,https://www.crunchbase.com/funding_round/showcase-9065-seed--51254cf6,Showcase,https://www.crunchbase.com/organization/showcase-9065,Seed,,,,2020-11-13,,,,Showcase is a social selling platform that connects social sellers to brands and suppliers.,"Mobile Apps, Shopping, Social Shopping","Bangkok, Krung Thep, Thailand, Asia",https://www.showcase.co.th/,,Seed,500 Startups
Seed Round - Storicity,https://www.crunchbase.com/funding_round/storicity-seed--aed72d10,Storicity,https://www.crunchbase.com/organization/storicity,Seed,,,,2020-11-09,,,,Storicity is a storytelling audio guide that provides city stories that created by experienced journalists and storytellers.,"Leisure, Tourism, Travel","Seoul, Seoul-t'ukpyolsi, South Korea, Asia",https://www.storicitytravel.com/,,Seed,500 Startups
Pre Seed Round - Talently,https://www.crunchbase.com/funding_round/talently-pre-seed--cea891fc,Talently,https://www.crunchbase.com/organization/talently,Pre-Seed,,,,2020-01-07,,,,"Talently offers an intensive program that helps software developers get a better job in the technology industry, anywhere in the world.","Developer Platform, EdTech, Education, Software, Software Engineering, Training","Lima, Lima, Peru, South America",https://talently.tech/,,Seed,500 Startups
Series A - FazWaz,https://www.crunchbase.com/funding_round/fazwaz-series-a--562c0640,FazWaz,https://www.crunchbase.com/organization/fazwaz,Series A,,,,2020-11-10,,,,Thailand's Home for Real Estate,"Marketing, Real Estate","Watthana, Krung Thep, Thailand, Asia",https://www.fazwaz.com/,Less than $1M,Early Stage Venture,500 Startups
Seed Round - UNIKO,https://www.crunchbase.com/funding_round/uniko-seed--f27bbc0d,UNIKO,https://www.crunchbase.com/organization/uniko,Seed,,,,2020-01-23,,,,"UNIKO , an innovative concept that offers the couple a chance to experience something different, changing their gifts into cash.",E-Commerce Platforms,"Mexico City, Distrito Federal, Mexico, North America",http://uniko.co/,,Seed,500 Startups
Seed Round - Saturday Kids,https://www.crunchbase.com/funding_round/saturday-kids-seed--809692b5,Saturday Kids,https://www.crunchbase.com/organization/saturday-kids,Seed,,,,2020-02-19,,,,"Saturday Kids uses digital literacy classes to transform kids into self-motivated learners who are curious, inventive, and resourceful.","E-Learning, Education","Singapore, Central Region, Singapore, Asia",http://www.saturdaykids.com/,Less than $1M,Seed,500 Startups
Series E - Evreka,https://www.crunchbase.com/funding_round/evreka-series-e--a8f6f96e,Evreka,https://www.crunchbase.com/organization/evreka,Series E,,,,2020-03-16,,,,Waste Collection and City Cleaning Solutions,"SaaS, Software, Waste Management","Çankaya, Ankara, Turkey, Europe",http://evreka.co/,Less than $1M,Late Stage Venture,500 Startups
