Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation Currency (in USD),Organization Description,Organization Industries,Organization Location,Organization Website,Organization Revenue Range,Funding Status,Investor Names
Pre Seed Round - SmartHop,https://www.crunchbase.com/funding_round/smarthop-pre-seed--810c205f,SmartHop,https://www.crunchbase.com/organization/smarthop,Pre-Seed,,,,2019-07-15,,,,SmartHop is a business-in-a-box platform that empowers small trucking companies and owner-operators to earn more while doing less.,"Artificial Intelligence, Logistics, Software, Transportation","Miami, Florida, United States, North America",http://www.smarthop.co,Less than $1M,Early Stage Venture,"Techstars, Techstars New York City Accelerator, The Fund"
Pre Seed Round - Getro,https://www.crunchbase.com/funding_round/getro-pre-seed--c7176002,Getro,https://www.crunchbase.com/organization/getro,Pre-Seed,100000,USD,100000,2017-01-24,,,,Getro connects companies to referred professionals in their network.,"Employee Benefits, Human Resources, Internet, Professional Networking","New York, New York, United States, North America",http://www.getro.com,$1M to $10M,Seed,"Right Side Capital Management, Techstars, Techstars Boulder Accelerator, The Fund"
Pre Seed Round - Makeswift,https://www.crunchbase.com/funding_round/makeswift-c70e-pre-seed--0ed4d843,Makeswift,https://www.crunchbase.com/organization/makeswift-c70e,Pre-Seed,,,,2017-07-10,,,,"Makeswift is a website builder for ambitious creators, designed to put you in a flow and give you full creative control.","CMS, Information Technology, Internet, Web Development","Atlanta, Georgia, United States, North America",https://www.makeswift.com/,,,"Techstars, Techstars Atlanta, COX Enterprises Social Impact Accelerator"
Pre Seed Round - Kndrd,https://www.crunchbase.com/funding_round/kndrd-pre-seed--10f7e8ef,Kndrd,https://www.crunchbase.com/organization/kndrd,Pre-Seed,,,,2019-03-04,,,,Kndrd is a global SaaS solution that's modernizing property management for the CoLiving revolution. Also a directory of coliving homes.,"Information Technology, Internet, Property Management, Real Estate, SaaS, Software","Los Angeles, California, United States, North America",https://kndrd.io,,Seed,"Arcadis City of 2030 Accelerator, Powered by Techstars, Techstars"
Seed Round - TapTrip,https://www.crunchbase.com/funding_round/taptrip-seed--bcbb0c1a,TapTrip,https://www.crunchbase.com/organization/taptrip,Seed,755000,GBP,986619,2019-04-01,,,,"Powering the world’s leading travel management companies in bringing business travel online for SMBs, marine, energy and resources companies","Business Travel, Leisure, SaaS, Travel","Manchester, Manchester, United Kingdom, Europe",https://www.taptrip.com,,,"ATPI, Barclays, Chris Adelsbach, John Fontein, SFC Capital, Techstars, Tim Dempsey"
Seed Round - Amino Apps,https://www.crunchbase.com/funding_round/amino-apps-2-seed--b301a5ca,Amino Apps,https://www.crunchbase.com/organization/amino-apps-2,Seed,1650000,USD,1650000,2014-07-09,,,,"Amino Apps enables people to discover, develop, and express their interests and passions.","Communities, Mobile, Social Media","New City, New York, United States, North America",http://aminoapps.com,$1M to $10M,Late Stage Venture,"Alumni Ventures Group, BoxGroup, Brainchild Holdings, David Chang, GV, Haystack, Jeremy Yap, Kal Vepuri, Katie Rae, Kevin Colleran, Paul English, Scott Belsky, Slow Ventures, SV Angel, Techstars, Techstars Boston Accelerator, Union Square Ventures"
Seed Round - Simudyne,https://www.crunchbase.com/funding_round/simudyne-seed--62698766,Simudyne,https://www.crunchbase.com/organization/simudyne,Seed,2000000,GBP,2806584,2018-02-16,9500000,GBP,13331275,Simudyne helps financial organisations to understand their world and make the best possible decisions.,"Cyber Security, Financial Services, FinTech, Software","London, England, United Kingdom, Europe",https://www.simudyne.com,Less than $1M,Early Stage Venture,"Calibrate Ventures, Graphene Ventures, Sway Ventures, Techstars, Will Brooks, Will Martin"
Seed Round - Seldon,https://www.crunchbase.com/funding_round/seldon-seed--51eb20d3,Seldon,https://www.crunchbase.com/organization/seldon,Seed,,,,2016-01-25,,,,Machine Learning Deployment Platform,"Artificial Intelligence, Machine Learning, Open Source, SaaS","London, England, United Kingdom, Europe",https://www.seldon.io/,$1M to $10M,Early Stage Venture,"Barclays Accelerator, powered by Techstars - London, Playfair Capital, Techstars, Will Brooks, Will Martin"
Seed Round - Rainbird Technologies,https://www.crunchbase.com/funding_round/rainbird-technologies-ltd-seed--08ff4a60,Rainbird Technologies,https://www.crunchbase.com/organization/rainbird-technologies-ltd,Seed,2200000,GBP,2834230,2017-07-08,8000000,GBP,10306290,Truly intelligent automation for complex decisions and scenarios,"Artificial Intelligence, Enterprise Software, Information Technology, Software","Norwich, Norfolk, United Kingdom, Europe",https://rainbird.ai/,$1M to $10M,,"Eden Rock Capital Management LLP, QVentures, Techstars, Techstars Adelaide Accelerator, Will Brooks, Will Martin"
Pre Seed Round - ReelData AI,https://www.crunchbase.com/funding_round/reeldata-ai-pre-seed--2108f8f7,ReelData AI,https://www.crunchbase.com/organization/reeldata-ai,Pre-Seed,320000,USD,320000,2019-09-09,,,,ReelData AI provides artificially intelligent monitoring for finned fish aquaculture.,"Analytics, Aquaculture, Artificial Intelligence","Halifax, Nova Scotia, Canada, North America",https://www.reeldata.ai/,,Seed,"Innovacorp, Techstars, Techstars Montreal AI Accelerator"
Convertible Note - echoAR,https://www.crunchbase.com/funding_round/echoar-convertible-note--cc844de4,echoAR,https://www.crunchbase.com/organization/echoar,Convertible Note,120000,USD,120000,2019-02-04,,,,EchoAR is a cloud platform for augmented and virtual reality apps which allows developers to build better 3D apps.,"3D Technology, Augmented Reality, Content Delivery Network, Developer Tools, Software, Virtual Reality","New York, New York, United States, North America",https://www.echoar.xyz,Less than $1M,Seed,"Angel (Individual), Techstars, Techstars Anywhere Accelerator"
Pre Seed Round - echoAR,https://www.crunchbase.com/funding_round/echoar-pre-seed--665f2a8e,echoAR,https://www.crunchbase.com/organization/echoar,Pre-Seed,50000,USD,50000,2018-12-17,,,,EchoAR is a cloud platform for augmented and virtual reality apps which allows developers to build better 3D apps.,"3D Technology, Augmented Reality, Content Delivery Network, Developer Tools, Software, Virtual Reality","New York, New York, United States, North America",https://www.echoar.xyz,Less than $1M,Seed,"NYC Media Lab, Techstars, Verizon Wireless, Y Combinator"
Pre Seed Round - FanSifter,https://www.crunchbase.com/funding_round/fansifter-pre-seed--ef5c931c,FanSifter,https://www.crunchbase.com/organization/fansifter,Pre-Seed,300000,USD,300000,2020-02-19,,,,"FanSifter is a fan data management platform to help rights-holders in music, entertainment, and sports increase sales of tickets, music, etc","Analytics, Concerts, Data Center, Data Storage, Events, Marketing Automation, Media and Entertainment, Music, Software, Sports","Los Angeles, California, United States, North America",https://fansifter.com/,,Seed,"Balam Holding, Bellone Invest, Change Ventures, Siena Holding, Techstars, Techstars Music, Webinfluence Group AS"
Pre Seed Round - Roll,https://www.crunchbase.com/funding_round/roll-3-pre-seed--d00ca4c3,Roll,https://www.crunchbase.com/organization/roll-3,Pre-Seed,,,,2017-07-10,,,,Roll is building blockchain infrastructure for social money on Ethereum.,"Apps, Blockchain, Information Technology","New York, New York, United States, North America",https://www.tryroll.com/,Less than $1M,Seed,"Contrary, Techstars, Techstars New York City Accelerator"
Seed Round - Kohort,https://www.crunchbase.com/funding_round/kohort-seed--81c0b520,Kohort,https://www.crunchbase.com/organization/kohort,Seed,3000000,USD,3000000,2011-04-19,,,,"Kohort provides management tools for organizations to manage membership directories, communications, events, ticketing and dues.","Events, Management Consulting, Social Media, Ticketing","New York, New York, United States, North America",http://www.kohort.com,$1M to $10M,Seed,"Adam Carson, Andrew Hunt, Anduin Capital, ArpexCapital, Contour Venture Partners, David Tisch, Fabrice Grinda, ff Venture Capital, FreshTracks Capital, Greg Isenberg, IA Ventures, Jose Marin, Mark Kossick, Paige Craig, Primary Venture Partners, Roger Black, RRE Ventures, Saïd Amin, Sean Delehanty, Techstars, Techstars Ventures, Zelkova Ventures"
Pre Seed Round - ARpalus,https://www.crunchbase.com/funding_round/arpalus-pre-seed--817c0a21,ARpalus,https://www.crunchbase.com/organization/arpalus,Pre-Seed,,,,2019-07-01,,,,ARpalus is an Enterprise SaaS company that helps CPG & Retailers in optimizing their in-store operations using real-time computer-vision,"Artificial Intelligence, Computer Vision, Machine Learning, Predictive Analytics, Retail Technology, SaaS","Caesarea, Hefa, Israel, Asia",https://www.arpalus.com,,Seed,"LeadX Capital Partners, Nielsen Innovate, Techstars"
Pre Seed Round - Oper,https://www.crunchbase.com/funding_round/oper-781f-pre-seed--2706bf2d,Oper,https://www.crunchbase.com/organization/oper-781f,Pre-Seed,100000,EUR,110195,2020-01-27,,,,Oper is a reliable technology partner that enables lenders to leverage their mortgage offerings.,"Credit, Financial Services, FinTech, Software","Antwerp, Antwerpen, Belgium, Europe",https://www.opercredits.com/,$1M to $10M,Seed,"Barclays Accelerator, powered by Techstars - London, Pitchdrive, Techstars"
Angel Round - Geospiza,https://www.crunchbase.com/funding_round/geospiza-55af-angel--1f2941ab,Geospiza,https://www.crunchbase.com/organization/geospiza-55af,Angel,1000000,USD,1000000,2018-09-28,,,,Geospiza is a tech start up that changes the way crisis and emergency management decision are made.,Software,"Denver, Colorado, United States, North America",https://geospiza.us,$1M to $10M,Seed,"Global Accelerator Network, Jon-Erik Borgen, Kokopelli, Techstars"
Seed Round - OneTrueFan,https://www.crunchbase.com/funding_round/onetruefan-seed--34aeacce,OneTrueFan,https://www.crunchbase.com/organization/onetruefan,Seed,1200000,USD,1200000,2010-09-28,,,,OneTrueFan is a community and web check-in company enabling its users to view the daily visitors of web pages.,"Advertising, Internet, Internet of Things, News, Online Portals, Publishing, Web Browsers","San Francisco, California, United States, North America",http://www.onetruefan.com,,M&A,"Bob Pasker, Dave McClure, David Cohen, First Round Capital, Jeff Clavier, Techstars, Techstars Ventures"
Seed Round - 7 Chord,https://www.crunchbase.com/funding_round/7-chord-seed--f7202cb9,7 Chord,https://www.crunchbase.com/organization/7-chord,Seed,,,,2017-10-23,,,,FinTech firm that uses Machine Learning (A.I.) to automate pricing and execution in corporate bonds. Corporate Bond Electronic Trading,"Analytics, Artificial Intelligence, Big Data, Credit, Data Mining, Data Visualization, Financial Services, Machine Learning, Predictive Analytics, Trading Platform","New York, New York, United States, North America",http://www.7-chord.com/,Less than $1M,Seed,"Techstars, Techstars New York City Accelerator"
